Country_of_origin,CIF_value($)
China,778170591287
Lebanon,120804276914
Italy,118965234452
United Kingdom,117336385997
India,115410214065
"Korea, Republic of",82502432856
United States,80496660368
Sweden,73043448235
South Africa,65486133354
Hong Kong,44778947046
Germany,40111669234
United Arab Emirates,38500416662
Thailand,36135672272
Romania,33261534060
Belgium,32024361770
France,22085575067
Japan,20060817851
Malaysia,18550497592
Egypt,15162082897
Qatar,12072905683
Netherlands,10532213068
Unknown,9390178334
Norway,8106365502
Israel,3847409139
Singapore,3357591010
Kenya,3135406830
Czechia,2957948546
Viet Nam,2869665476
Spain,2529198691
Switzerland,1957696592
Austria,1881187469
"Taiwan, Province of China",1564746545
Finland,1510883096
Brazil,1330826759
Greece,962591433
Indonesia,867413338
Slovakia,778714586
Bulgaria,697924149
Hungary,559939092
Estonia,466234350
Denmark,383640323
Costa Rica,380673549
Poland,374933008
Mexico,281232674
Canada,279803664
Ukraine,180220575
Cyprus,171767303
"Virgin Islands, British",167399430
Australia,120746052
Portugal,120620646
Ecuador,118512777
Ireland,113301730
Nigeria,99157724
Philippines,98623941
Ghana,84577246
Luxembourg,71849244
Ethiopia,70219573
Russian Federation,62525936
Saudi Arabia,51183689
Argentina,48433495
Tunisia,48353806
Saint Vincent and the Grenadines,27515040
Lithuania,22030680
Morocco,18763716
Angola,14268981
Madagascar,14035180
Latvia,13649206
Uganda,11669548
Cameroon,9227493
Togo,6465544
New Zealand,5555038
"Tanzania, United Republic of",5298368
"Venezuela, Bolivarian Republic of",4643437
Isle of Man,4365264
Georgia,4287138
Cocos (Keeling) Islands,4217424
Niger,3973144
Dominican Republic,3427557
Panama,3298025
Malta,2822896
Croatia,2816039
New Caledonia,2053628
Jamaica,2000994
Mauritius,1847013
Kuwait,1714068
Andorra,1421662
Equatorial Guinea,1251610
Sierra Leone,1205121
Peru,1201470
Slovenia,1005684
Pakistan,1004160
Syrian Arab Republic,1003530
Namibia,1001769
Trinidad and Tobago,1001346
"Iran, Islamic Republic of",915507
Antigua and Barbuda,866609
Gabon,849241
Oman,844927
Guinea,708330
Albania,629206
Bosnia and Herzegovina,552553
Brunei Darussalam,535640
Colombia,508926
Bahrain,473106
Azerbaijan,390345
Iceland,332799
Saint Pierre and Miquelon,314436
Papua New Guinea,294780
Guadeloupe,279383
Bangladesh,257180
Aruba,256715
Zambia,250608
Cambodia,222202
Mozambique,217540
Senegal,195645
Sri Lanka,156668
Tokelau,145428
Guam,121573
Benin,117605
Congo,108959
Mali,108768
Armenia,101676
Bouvet Island,19133
Liechtenstein,18739
Anguilla,11450
British Indian Ocean Territory,2729
Nepal,1994
