Importer,Mass_(kg)
7013,80231589
11327,75745198
30571,68418797
61090,60939646
69009,36299428
96059,30278549
35437,29428192
37193,28928351
62948,25975092
28895,22505722
5768,21374194
3748,18926106
44077,18853903
57374,18356655
34016,17696950
72143,15257173
46643,15056694
58403,14379860
55285,14305721
65878,12972430
55543,12629391
12268,12026477
20179,11815405
42874,11724840
30875,11460670
35713,10845692
26683,10684972
58212,9265271
63295,8802607
45690,8689786
17046,8587000
67866,8457824
16452,8453228
81303,7328000
87967,6813583
3004,6807459
10059,6625684
33399,6368645
9696,6043502
41019,5824344
94060,5542440
59973,4881636
13914,4849055
36293,4691850
3719,4653471
25358,4502077
13589,4075139
20864,4042158
2979,3946509
47329,3870078
55235,3821415
79614,3791424
89471,3780000
81538,3780000
50068,3750865
40210,3709517
26233,3700000
99078,3653634
69176,3528829
18855,3484181
75139,3400322
85263,3136577
13919,3130519
67324,3096592
30721,3041626
78138,3036618
28816,3013536
12708,3000909
59566,2983422
61982,2981130
58728,2910225
89466,2853501
33224,2815440
54308,2800921
80187,2744822
45160,2743511
9386,2731872
60114,2694890
16998,2614467
29721,2605329
12948,2567816
3163,2480960
43236,2463222
24964,2455032
13593,2421580
47968,2398943
44165,2393175
65405,2341970
84375,2285330
3030,2282731
5772,2279398
37593,2274608
7072,2268649
79775,2256936
80918,2242281
60779,2196173
57276,2187458
86214,2173973
50085,2112061
30781,2111730
5683,2097735
27284,2086895
52077,2045506
39911,2044179
28691,2017858
59106,1948943
96115,1909520
37897,1871801
53524,1841771
73811,1820000
23971,1808804
34850,1795500
31063,1792029
20669,1755323
7473,1688480
53992,1662847
12597,1657392
30645,1639869
28738,1635033
14758,1602000
75519,1571200
72491,1560440
40376,1558450
20486,1537561
72335,1527922
49136,1515753
26326,1491304
3016,1471639
2853,1463608
49841,1447061
1282,1428000
90269,1386012
78329,1350491
66847,1341270
57,1340405
76661,1325806
87276,1314327
28595,1314256
94694,1308442
13181,1265853
75327,1264148
58711,1250335
15947,1235266
32026,1234250
18600,1234246
13990,1223482
62355,1209192
12210,1198386
38356,1193615
73675,1171460
46266,1167520
54832,1164627
96708,1156360
10375,1135552
36805,1101524
71133,1094800
45486,1086673
49032,1083146
91115,1082322
54553,1066372
45538,1063767
78572,1060222
94940,1037450
99591,1033646
80023,1028381
20861,1021650
49412,1020164
934,1010034
49512,995331
18397,975520
73668,974097
59054,964201
71032,955733
76332,950400
15551,937500
43728,932754
53327,925542
72101,920733
68953,914418
21463,895125
47722,890000
44872,883321
66817,881335
11693,876483
10775,872948
45548,871733
42602,868981
52833,863276
40461,858485
56986,853934
47636,850568
45773,845520
44298,844766
7372,826700
60087,821427
62567,802106
71713,799233
34276,788096
78345,764350
98520,763308
76653,756000
47364,755820
56495,754475
65979,748644
26314,747902
43191,746136
58316,743093
16520,742660
10993,724954
30693,717832
59130,715969
16717,702151
42073,700000
29202,698500
59991,685115
83276,677728
53067,676422
95766,674174
63460,673973
74567,671470
5788,667002
56264,658042
90259,657690
45291,654046
10799,650131
55639,650000
89371,646285
98526,643124
57928,643086
73329,636741
98797,635688
81216,635420
20110,634656
21773,626524
40656,625521
68497,623920
46348,622819
37381,620935
56168,619943
71968,610800
20665,610057
44639,606698
76384,602149
59789,600000
97740,599949
56109,596188
76948,593511
88889,577684
56957,576830
69005,575220
24710,569210
74870,567820
46902,565875
91352,563331
5325,557590
26404,547864
83835,547429
57345,547150
78425,544604
90561,539240
61798,538000
4087,537400
36487,536541
20667,530229
95131,528000
93099,521440
8400,516200
34625,516056
28645,515427
45335,513077
63540,510151
94631,505196
54955,502731
62547,500000
57829,500000
74663,497663
44631,496467
37320,495553
52586,495074
70485,494400
41886,494338
77867,490199
75850,484670
65211,483831
