Importer,Total_Tax($)
69009,29522113044
37193,24644875768
11327,16126984870
96059,16052822615
94060,11128119401
44077,9211461148
35437,7561276465
67324,7189096820
28895,7020546613
45690,4681998721
28738,3900626976
57374,3791348234
61090,3036252794
87967,2995972225
62948,2897858578
58728,2691765055
30645,2560389016
63295,2489002586
58212,2187888113
5768,2149404287
35713,2044464490
72143,2010419887
38356,1881507946
79614,1575235233
3748,1493679197
46643,1490616639
37593,1427628783
60779,1420464402
53067,1412203864
50085,1374916774
72335,1363982340
80023,1310425438
12268,1147336311
14588,1077999780
59566,1004319992
60087,862643284
28816,816174899
16998,779579123
61982,756822360
55285,737495594
89466,731702301
67866,730049714
2979,711839161
65878,664046168
3163,627496520
30571,624232985
90269,624076871
47968,620434756
42874,611475370
10059,598778036
31063,594862042
72101,592670506
30875,580266895
58649,576587938
56957,565607792
63322,534931210
55543,525565634
3284,525065725
51794,523423733
41019,498159343
96115,497315990
44298,496731802
15947,492790278
91051,475996947
6407,465245393
408,464145997
3719,460186299
95131,455560617
25358,443555651
58711,438105388
36805,425013817
7013,414392290
89604,392814422
34457,384960330
75327,374049375
40210,367009293
34016,347582056
61185,342610903
3004,328508760
13914,315204959
68918,303008049
98568,301833483
18600,301139154
47329,298985978
9386,290980074
69176,290414108
60056,285894699
11019,283678156
29721,279679011
99591,276730442
14758,268684437
56604,266413234
80187,260813989
36293,260476514
50068,259801922
59106,248176629
12210,242471148
60114,241224814
3030,240980136
95561,236467693
94694,232619343
20179,231324205
7072,229558953
85338,225319225
18855,220454462
3830,218479834
20864,217279481
30781,216594386
13589,203394932
18397,202386090
26231,202226558
20948,201063524
77801,200904343
59130,194439655
82259,190191261
2490,187467807
78138,187115953
89371,186164735
44165,183051400
4204,182864028
37320,180599946
57,180437582
44827,178696127
72491,178358839
23971,174633177
22541,172229146
44105,170574790
58403,167761070
62894,161582186
5683,161250783
12597,158439182
56720,155563139
37592,155305586
59054,153837767
92040,152813598
99078,148070899
5772,147151337
43236,144820329
32026,144505454
20134,142027324
49412,141953406
8866,141243683
59973,141050380
13990,140948702
12948,140154658
67871,140135169
36700,139785309
89471,138789390
49032,138046653
36487,136712114
84943,135760608
28691,135232084
34850,133115124
45160,132728762
30721,131061691
41189,130934133
95090,130491400
78329,130231545
87165,130134039
14597,129828021
49881,129272446
17046,129048439
32587,127585911
29167,127082108
50343,126557601
57343,124957566
85771,124663612
934,123945542
41886,121849224
72495,121533759
46348,119268128
52833,118305740
70729,117745134
49512,117339545
57928,117086715
13919,115674365
55235,114108577
47722,113636455
13181,112979661
55424,112942221
35628,112565145
47364,111149358
13593,109923120
88889,109445106
93706,109118960
7673,108468534
20861,107583945
43728,107515926
68953,105860958
76661,105744299
71822,105646853
86159,105340632
74497,104282923
9658,104261684
61042,103609724
53992,103505880
65405,103377292
78120,102862098
81216,100960837
81303,100822034
95968,97628675
44631,94307993
53002,93691495
50881,93131277
97874,92677157
63540,91798944
15552,91773049
57785,89794887
39911,89462654
15551,87471920
34832,87109707
63521,85156114
55084,84952576
70660,82935800
71449,81358994
55841,80971070
74620,79932289
40461,79598238
71133,79217577
16717,79146529
65058,78723440
40656,77312072
70485,76801242
46539,76783958
9696,76600868
92496,74578220
57825,74345872
1668,73946340
4205,73673291
74663,72967499
85263,71802533
91115,71558010
54308,70078102
16354,69720377
77867,69545571
13246,69130513
69005,69010060
72908,69002512
97165,68928443
98649,68645799
80069,68536626
8329,68508020
10993,68437693
31637,67800472
47330,67712273
21336,67452111
75519,66742660
97979,66691599
16452,66482669
56264,66236915
53327,65920877
86016,65251983
54553,65187188
78572,64809936
75139,64735422
81717,64670969
45020,63957149
61979,62893852
86214,62144932
62837,61998450
74697,61781740
26314,61480010
29869,61369695
44941,61283645
44897,60820335
3016,59030051
62672,58761211
78425,56793857
72121,56296123
57713,55844693
12708,55453802
19561,55262436
29664,54874235
26326,54490535
81538,54287698
35393,54126820
79775,53714418
93306,53236264
63403,52718218
46946,52415523
52077,52059739
73811,52051729
19940,51841924
86503,51660639
29391,51449359
24964,50923414
62005,50753138
26233,50486249
67828,50462077
57345,50385004
21773,50289419
67947,50247759
15182,50056740
66847,49949740
191,49123095
34214,49117922
54291,48670351
56182,48378210
20145,47681571
22867,47037071
71459,46965776
86002,46272761
63460,46030243
84375,45732978
42602,45430632
20486,45108932
30693,45007768
7372,44990235
23324,44834098
46902,44683575
65694,44648368
30269,44570093
52827,44451333
49841,44444563
47649,44399073
819,44260166
10775,44128017
73668,43827146
51617,43653485
28645,43152735
15998,42675817
41804,42608038
26537,41594661
25900,41583614
45486,41544367
77094,41326808
53047,41285222
81848,40732939
78469,40472829
74870,40439674
87276,40277161
775,40221140
54832,40060328
54962,40047792
22480,39785372
52685,39350442
32390,39347144
44593,39234046
82097,38889668
33399,38868644
84917,38764388
6120,38564337
45773,38397287
20665,38310751
66817,38079815
70558,37806998
58316,37773171
49593,37701076
61363,37451583
76039,37193924
73329,37043360
92954,36433339
41815,36345227
37897,36214940
15731,36198660
38245,36184569
40316,35520529
69827,35375401
91352,35088686
94826,35061506
69154,35048495
39416,35006626
98526,34969724
69864,34736589
57276,34728658
62567,34529145
20669,34527059
45975,34509099
71314,34055663
45609,34039045
97751,33945042
67667,33933645
72947,33701692
16023,33649794
1406,33604861
56658,33493261
89599,32913938
4075,32365629
62355,32364622
2752,32237430
45291,32193103
56986,32174634
36894,32164001
74416,32114019
93582,32020471
73675,31969152
44967,31849476
51108,31810705
45538,31718688
75326,31715335
2853,31694018
29011,31680629
24710,31616193
53524,31594762
44671,31450627
37585,31312330
50170,30796258
13417,30726267
84685,30676882
34276,30631338
97897,30592177
42900,30473391
98919,30408974
22631,30350106
55659,29963586
12645,29958595
74325,29957631
65459,29937632
85234,29904273
36364,29588379
81276,29431922
86906,29376620
15269,29281218
24334,29072564
44872,28708694
11386,28666007
19111,28583472
60019,28536503
10503,28098941
53268,27933367
1282,27747538
82870,27399060
5788,27340116
89665,27242678
62065,27221006
44214,27214565
29202,27205547
63416,27195138
66820,27181353
96298,27046845
78345,26943836
93554,26829519
95766,26748582
87370,26736152
90259,26689655
8258,26557705
37381,26493749
1615,26433155
47791,26348500
62411,26284175
98155,26253732
77288,26242943
13505,26231865
98520,26096183
45335,26062264
19963,26041662
11693,25951539
10375,25940589
92019,25896472
30679,25509040
61164,25324120
80481,25151370
7804,25139709
46567,25113317
70405,25106549
10208,24895463
47381,24833621
6046,24799553
16322,24789639
58261,24577690
132,24365502
3073,24219838
90543,24108374
18842,24082946
81241,23977384
28460,23776016
70905,23708818
76384,23694003
53929,23687857
74080,23661166
63821,23327138
42857,23309050
27358,23260598
84958,23213614
90314,23144342
24210,22984105
60999,22884292
95389,22875589
38974,22775836
57748,22736653
28595,22712366
65979,22588489
94631,22586252
84418,22578019
59426,22573500
59991,22561248
12910,22528296
58314,22442166
46266,22336480
28611,22303724
54955,22298855
53046,21995277
73857,21986790
5391,21927241
10799,21905886
3688,21895796
99992,21891788
60096,21835785
62827,21814801
89867,21719864
43191,21552912
87369,21535935
93773,21524049
56495,21518178
99356,21414633
71127,21387244
87533,21346296
56414,21305202
94074,21286801
25147,21282988
57705,21184934
82575,21053355
21908,20984199
88051,20931472
83835,20928734
21323,20926409
71679,20912416
44639,20730710
17241,20567586
57829,20555685
61973,20547137
35073,20478879
68973,20441076
97740,20390016
3116,20348819
77019,20328110
9881,20284180
27197,20198835
42014,20190488
15952,20133609
81871,20113536
2557,19972260
94047,19823273
63819,19727692
64110,19697627
95974,19693241
45548,19682066
18295,19656854
57947,19581583
18292,19239750
38683,19134643
75850,19107933
97400,19043453
53071,19041846
27229,18965647
88686,18925796
11373,18739576
96708,18683724
39987,18625229
70923,18541841
96743,18322655
83276,18301788
20973,18229341
45028,18224533
81423,18211802
71968,18143951
93099,18059617
65211,18046433
41495,18044212
56109,17988165
76875,17817652
36353,17781234
36313,17698083
78016,17637662
26934,17608088
14337,17604281
15806,17498159
89047,17475480
7473,17450792
71308,17441370
16576,17437804
10854,17206869
16520,17112475
41462,16977037
7613,16965357
94627,16955870
20259,16872327
68497,16810833
60906,16709795
13256,16685550
24901,16485005
96203,16473657
68110,16427545
7036,16375036
69384,16204539
60746,16043515
71032,15976887
80034,15960649
88103,15960241
78827,15949163
31370,15883221
93777,15865630
90098,15834228
21621,15815294
91894,15773744
70275,15763047
18064,15649841
39999,15640742
88191,15553006
66028,15548485
89565,15510776
25670,15464387
26404,15397057
82729,15374908
67830,15359642
63076,15311339
26760,15299836
58149,15171054
32465,15116746
801,15110864
23298,15092819
86353,15081271
61061,15052298
84606,15023903
51007,15008549
47976,14953608
58726,14924950
29760,14875209
92412,14692388
80571,14670349
378,14613243
53250,14577739
46901,14540800
80475,14487171
57508,14464119
8937,14455360
17114,14397585
61734,14363150
40511,14354223
79425,14330414
98797,14287644
4087,14281644
59790,14214117
73131,14172528
33863,14129805
76332,14054951
80842,14052906
57528,14035520
71713,13993681
33381,13950045
7299,13929214
92503,13925800
73021,13880246
59008,13820138
15341,13784667
17021,13770759
36129,13738915
97559,13707901
58569,13673556
82777,13671394
28775,13670722
624,13578417
62405,13575903
83989,13555960
44410,13552828
13942,13507980
24668,13491316
58539,13466497
7289,13455075
93939,13434393
32073,13428378
14665,13413662
97854,13372374
50099,13322585
57562,13207600
74727,13104898
75884,13078254
89424,13019594
21656,12999320
169,12952811
43043,12938113
35566,12921837
94940,12886719
58731,12850371
27134,12840529
44181,12834158
9522,12817643
93503,12805668
73130,12762350
79797,12717887
40244,12643673
90561,12642389
62840,12636094
34625,12569571
85413,12543415
26986,12481901
21463,12473540
34,12415004
83033,12404532
11454,12328390
12574,12271202
81475,12262726
52469,12241290
84526,12214895
38082,12202247
72017,12139096
75483,12035555
87915,12021536
80690,11998924
17849,11987864
36824,11929905
32840,11917980
40425,11856477
99538,11830614
35488,11818363
55639,11798878
88063,11794399
34090,11793684
37130,11777063
68489,11717264
55223,11642540
61430,11642348
26327,11610456
76670,11544491
56434,11540394
70370,11513969
20053,11484093
56283,11473096
14292,11434003
1045,11383058
38200,11367099
62977,11357185
31947,11338945
86529,11314622
72877,11313612
62598,11299885
56569,11298867
78104,11293886
26103,11209319
27623,11204965
79533,11175558
63948,11115409
64454,11109032
80236,11057536
23263,10984911
54923,10943131
67718,10908943
55575,10877897
74605,10845435
44175,10823893
42054,10803464
62365,10797172
30081,10772230
53158,10712359
49431,10633278
29294,10632679
47537,10616642
65357,10615683
40798,10603690
71849,10592238
63501,10586950
42009,10570044
34982,10547365
3817,10485748
99126,10466258
23191,10458315
95719,10457085
