Country_of_origin,Mass_(kg)
China,690644848
India,142213781
Italy,135010855
United States,77504961
Lebanon,63613106
United Kingdom,44214138
Hong Kong,33040812
"Korea, Republic of",23956340
Germany,23731827
Unknown,19500206
South Africa,15606107
United Arab Emirates,12375844
Thailand,11450130
Japan,9857384
Romania,9266391
Belgium,9166205
France,6603332
Sweden,4772823
Malaysia,3747694
"Taiwan, Province of China",3222714
Egypt,2994371
Qatar,2912621
Spain,2662352
Kenya,2396789
Netherlands,1305134
Nigeria,1177304
Bulgaria,863776
Viet Nam,665750
Greece,633438
Indonesia,511954
Singapore,496257
Australia,397809
Israel,387004
Czechia,362458
Poland,285067
"Virgin Islands, British",257190
Slovakia,252903
Angola,219116
Costa Rica,211603
Austria,164197
Canada,158415
Norway,142748
Saudi Arabia,130160
Brazil,115746
Switzerland,114076
Estonia,106911
Denmark,96090
Finland,85062
Russian Federation,63371
Hungary,56932
Ukraine,50000
Ireland,47958
Ghana,44315
Morocco,43011
Portugal,39604
Philippines,28250
Ethiopia,27781
Mexico,25357
Malta,20019
Tunisia,18955
Cyprus,18782
New Zealand,11569
Cameroon,11205
Uganda,10283
Cocos (Keeling) Islands,10000
Syrian Arab Republic,6750
Sierra Leone,5666
Ecuador,5000
Saint Vincent and the Grenadines,3874
Namibia,3000
Saint Pierre and Miquelon,3000
Luxembourg,2981
"Venezuela, Bolivarian Republic of",2626
Papua New Guinea,2447
Dominican Republic,2083
Madagascar,2000
Anguilla,2000
"Iran, Islamic Republic of",1940
Panama,1864
Argentina,1425
Latvia,1392
Lithuania,1265
Togo,1020
New Caledonia,1007
Iceland,624
Pakistan,503
"Tanzania, United Republic of",442
Azerbaijan,408
Niger,360
Jamaica,286
Cambodia,221
Guam,210
Armenia,200
Bangladesh,176
Croatia,161
Equatorial Guinea,150
Antigua and Barbuda,128
Albania,120
Andorra,94
Kuwait,92
Mauritius,89
Slovenia,86
Guinea,70
Bosnia and Herzegovina,65
Peru,48
Oman,46
Isle of Man,44
Tokelau,42
Zambia,36
Gabon,31
Trinidad and Tobago,26
Bouvet Island,22
Senegal,20
Bahrain,16
British Indian Ocean Territory,15
Guadeloupe,14
Colombia,13
Liechtenstein,9
Aruba,7
Georgia,6
Sri Lanka,5
Mali,4
Mozambique,4
Benin,3
Congo,2
Nepal,1
Brunei Darussalam,0
